    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  
 0   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4   4  
 1   4   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   1   1   1   0   0   0   0  
 2   4   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   1   1   1   0   0   0   0  
 3   4   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   1   1   1   0   0   0   0  
 4   4   0   0   0   1   2   2   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1  
 5   4   0   0   0   1   1   2   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1  
 6   4   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1  
 7   4   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1  
 8   4   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1  
 9   4   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1  
10   4   2   2   2   1   1   1   1   1   1   1   1   0   0   0   0   1   2   2   2   2   2   1   1   1   1   1   1   1   0   0   0   0   1   1   1   1  
11   4   2   2   2   1   1   1   1   1   1   1   1   0   0   0   0   1   1   2   2   2   2   1   1   1   1   1   1   1   0   0   0   0   1   1   1   1  
12   4   2   2   2   1   1   1   1   1   1   1   1   0   0   0   0   1   1   1   2   2   2   1   1   1   1   1   1   1   0   0   0   0   1   1   1   1  
13   4   2   2   2   1   1   1   1   1   1   1   1   0   0   0   0   1   1   1   1   2   2   1   1   1   1   1   1   1   0   0   0   0   1   1   1   1  
14   4   2   2   2   0   0   0   0   0   0   0   0   1   2   2   2   1   1   1   1   2   2   1   1   0   0   0   0   0   1   2   2   2   0   0   0   0  
15   4   2   2   2   0   0   0   0   0   0   0   0   1   1   2   2   1   1   1   1   2   2   1   1   0   0   0   0   0   1   1   2   2   0   0   0   0  
16   4   2   2   2   0   0   0   0   0   0   0   0   1   1   1   2   1   1   1   1   2   2   1   1   0   0   0   0   0   1   1   1   2   0   0   0   0  
17   4   2   2   2   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   2   2   1   1   0   0   0   0   0   1   1   1   1   0   0   0   0  
18   4   2   2   2   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   2   1   1   0   0   0   0   0   1   1   1   1   0   0   0   0  
19   4   2   2   2   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   1   1   1   0   0   0   0  
20   4   2   2   2   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   1   1   1   0   0   0   0  
21   4   2   2   2   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   1   1   1   0   0   0   0  
22   4   2   2   2   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   1   1   1   0   0   0   0  
23   4   2   2   2   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   1   1   1   0   0   0   0  
24   4   2   2   2   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   1   1   1   0   0   0   0  
25   4   2   2   2   0   0   0   0   0   0   0   0   1   1   1   1   1   1   1   1   1   1   1   1   0   0   0   0   0   1   1   1   1   0   0   0   0  
